entry_date,exit_date,ticker,entry_price,exit_price,shares,pnl_pct,reason
2021-05-05,2021-07-06,DELL,45.380332946777344,45.36650085449219,237.29712570434913,-0.03048036756666971,REBAL
2021-06-04,2021-07-06,NVT,30.23331642150879,28.34489631652832,360.227361017936,-6.246155991133663,REBAL
2021-06-04,2021-07-06,ORCL,77.47087097167969,77.6484375,140.5801645539988,0.2292042494077856,REBAL
2021-07-06,2021-07-16,NVDA,20.65118980407715,18.119491577148438,510.23208071101567,-12.259333486097153,STOP
2021-07-06,2021-08-04,ANET,23.433124542236328,23.88249969482422,449.65832549989136,1.9176919910015755,REBAL
2021-07-06,2021-08-04,META,350.0330810546875,356.1253356933594,30.102582050655265,1.740479677039454,REBAL
2021-08-04,2021-08-16,CRWD,264.2099914550781,234.7100067138672,39.94448731952436,-11.165355473025942,STOP
2021-07-06,2021-09-02,VRT,27.48434066772461,28.459877014160156,383.3782905793363,3.549426046742093,REBAL
2021-08-04,2021-09-02,INTU,519.13037109375,542.11083984375,20.32963825856204,4.426724004142294,REBAL
2021-07-06,2021-09-22,NET,108.93000030517578,136.97000122070312,96.73092365163372,25.741302521776483,TAKE
2021-09-02,2021-10-04,ZS,282.20001220703125,251.86000061035156,37.96451243759565,-10.751243899458535,STOP
2021-08-04,2021-10-04,NVDA,20.2276668548584,19.690372467041016,521.7474031531299,-2.6562351044867656,REBAL
2021-09-02,2021-10-04,AMD,109.19999694824219,100.33999633789062,98.10976348654505,-8.11355389922855,REBAL
2021-10-04,2021-10-12,NET,115.7300033569336,150.94000244140625,90.32853029560482,30.424261698047523,TAKE
2021-10-04,2021-10-26,ZS,251.86000061035156,315.32000732421875,41.50607912730852,25.196540363725767,TAKE
2021-10-04,2021-11-02,NOW,123.59400177001953,137.3179931640625,84.58113633855172,11.104091782366762,REBAL
2021-09-02,2021-11-05,DDOG,137.08999633789062,185.50999450683594,78.15001939979138,35.319862471658986,TAKE
2021-10-04,2021-11-08,MDB,444.9700012207031,571.2999877929688,23.4930918616067,28.390674927680465,TAKE
2021-11-02,2021-11-12,LEU,65.70999908447266,85.58999633789062,175.63173360229663,30.25414325125996,TAKE
2021-11-02,2021-12-01,NET,192.3699951171875,164.2100067138672,59.99252142820342,-14.638451483125461,STOP
2021-11-02,2021-12-02,PWR,119.80960845947266,112.770751953125,96.32583899241344,-5.875035063426195,REBAL
2021-12-02,2021-12-06,NET,166.3699951171875,147.69000244140625,71.76036448355028,-11.227981741914135,STOP
2021-12-02,2021-12-13,LEU,53.779998779296875,47.040000915527344,221.9927809543164,-12.53253628998623,STOP
2021-12-02,2021-12-13,TSLA,361.5333251953125,322.13665771484375,33.02260305405076,-10.897105393862471,STOP
2021-12-02,2022-01-03,APP,90.31999969482422,94.37999725341797,132.18303287284007,4.495125744366459,REBAL
2021-12-02,2022-01-03,DDOG,169.44000244140625,163.8300018310547,70.46017066049312,-3.3109068280918765,REBAL
2022-01-03,2022-01-06,TSLA,399.9266662597656,354.8999938964844,28.853140175083993,-11.258732203177203,STOP
2022-01-03,2022-01-07,AMD,150.24000549316406,132.0,76.8047107258132,-12.140578292240534,STOP
2022-01-03,2022-01-13,LEU,52.709999084472656,46.0099983215332,218.91747982872303,-12.711062188033964,STOP
2022-01-03,2022-01-13,MRVL,87.8890380859375,77.3499526977539,131.2921430550205,-11.991353663330033,STOP
2022-01-03,2022-01-18,ANET,35.560001373291016,31.772499084472656,324.4977422867609,-10.6510183986189,STOP
2022-02-02,2022-02-11,QCOM,171.0008544921875,149.59393310546875,63.51537854661562,-12.518604921764743,STOP
2022-02-02,2022-03-04,CIEN,66.44000244140625,65.94000244140625,163.47356420470567,-0.7525586719250233,REBAL
